borrower_id,segment,gst_filing_notes,collection_call_notes,label_bankrupt
MSME01648,MSME,Regular GST compliance maintained. No late filing flags in Jan. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GST return for May filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME01649,MSME,Regular GST compliance maintained. No late filing flags in Mar. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME01650,MSME,GST return for Aug filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in May. || Steady monthly turnover reported in GST filings; no anomalies for Mar.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME01651,MSME,GST return for May filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Dec. || GST return for Jun filed within due date. ITC claims reconciled. || GST return for Dec filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01652,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01653,MSME,Regular GST compliance maintained. No late filing flags in Apr. || Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01654,MSME,GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Sep. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME01655,MSME,GST return for May filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME01656,MSME,Steady monthly turnover reported in GST filings; no anomalies for Mar. || Regular GST compliance maintained. No late filing flags in Dec. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01657,MSME,Regular GST compliance maintained. No late filing flags in Jan. || Regular GST compliance maintained. No late filing flags in Jun.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01658,MSME,Regular GST compliance maintained. No late filing flags in Apr. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01659,MSME,Regular GST compliance maintained. No late filing flags in Oct. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted.,0
MSME01660,MSME,GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Feb.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01661,MSME,Steady monthly turnover reported in GST filings; no anomalies for Dec. || GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted.,0
MSME01662,MSME,GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Nov. || Regular GST compliance maintained. No late filing flags in Mar.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01663,MSME,GST return for Jun filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Aug. || Regular GST compliance maintained. No late filing flags in Jul.,"Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01664,MSME,Steady monthly turnover reported in GST filings; no anomalies for Nov. || Regular GST compliance maintained. No late filing flags in Jul.,"Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01665,MSME,Steady monthly turnover reported in GST filings; no anomalies for Aug. || Turnover declared in Mar filing dropped sharply versus prior period.,Borrower requested restructuring due to declining order book. || Courtesy call completed. No stress indicators noted. || Call escalated - borrower reported delay in receivables from customers.,0
MSME01666,MSME,Regular GST compliance maintained. No late filing flags in Mar. || Regular GST compliance maintained. No late filing flags in Mar.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01667,MSME,GST return for Jul filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01668,MSME,GST return for Mar filed within due date. ITC claims reconciled. || GST return for Nov filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME01669,MSME,GST return for Apr filed within due date. ITC claims reconciled. || GST return for Sep filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for May. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,"Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01670,MSME,Steady monthly turnover reported in GST filings; no anomalies for Mar. || Regular GST compliance maintained. No late filing flags in May. || GST return for Jan filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01671,MSME,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Mar. || Steady monthly turnover reported in GST filings; no anomalies for Oct. || Regular GST compliance maintained. No late filing flags in Jan.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01672,MSME,Regular GST compliance maintained. No late filing flags in Jun. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,Courtesy call completed. No stress indicators noted.,0
MSME01673,MSME,Steady monthly turnover reported in GST filings; no anomalies for Apr. || GST return for Dec filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Mar. || Regular GST compliance maintained. No late filing flags in Mar.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01674,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jun. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted.,0
MSME01675,MSME,Steady monthly turnover reported in GST filings; no anomalies for May. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,Courtesy call completed. No stress indicators noted.,0
MSME01676,MSME,Regular GST compliance maintained. No late filing flags in Jun. || GST return for Dec filed within due date. ITC claims reconciled. || GST return for Nov filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Mar.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME01677,MSME,GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || GST return for May filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01678,MSME,GST return for Oct filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Feb filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Mar.,Courtesy call completed. No stress indicators noted.,0
MSME01679,MSME,Regular GST compliance maintained. No late filing flags in Mar. || GST return for Dec filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME01680,MSME,"Nil/near-nil turnover reported in Aug GST return, inconsistent with loan ticket size. || Turnover declared in Jan filing dropped sharply versus prior period. || Repeated late filing pattern observed for Oct; compliance risk noted.",Field visit report notes shutdown/reduced operations at business premises.,0
MSME01681,MSME,Steady monthly turnover reported in GST filings; no anomalies for Mar. || Regular GST compliance maintained. No late filing flags in Jan. || Regular GST compliance maintained. No late filing flags in Dec. || Regular GST compliance maintained. No late filing flags in Feb.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01682,MSME,Steady monthly turnover reported in GST filings; no anomalies for Aug. || Regular GST compliance maintained. No late filing flags in Aug. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01683,MSME,GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01684,MSME,Steady monthly turnover reported in GST filings; no anomalies for Dec. || Regular GST compliance maintained. No late filing flags in Apr. || Regular GST compliance maintained. No late filing flags in Oct.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME01685,MSME,GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Nov. || GST return for Aug filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01686,MSME,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Sep.,Courtesy call completed. No stress indicators noted.,0
MSME01687,MSME,GST return for Oct filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Mar. || GST return for Oct filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01688,MSME,GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || GST return for Apr filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01689,MSME,GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Apr. || Regular GST compliance maintained. No late filing flags in Feb. || Regular GST compliance maintained. No late filing flags in May.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01690,MSME,GST return for Jul filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Mar. || GST return for Jan filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Feb.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01691,MSME,GST return for Feb filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Oct.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01692,MSME,GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,Courtesy call completed. No stress indicators noted.,0
MSME01693,MSME,GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || Turnover declared in Jun filing dropped sharply versus prior period.,Borrower requested restructuring due to declining order book.,0
MSME01694,MSME,GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || GST return for Jan filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01695,MSME,GST return for Aug filed within due date. ITC claims reconciled. || GST return for Jul filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jun.,"Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01696,MSME,GST return for Apr filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GST return for Mar filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01697,MSME,GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01698,MSME,Regular GST compliance maintained. No late filing flags in Sep. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01699,MSME,GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || GST return for Dec filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted.,0
MSME01700,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jan. || Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01701,MSME,GST return for Apr filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || GST return for May filed within due date. ITC claims reconciled.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01702,MSME,Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01703,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jun. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || GST return for Oct filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME01704,MSME,Turnover declared in Apr filing dropped sharply versus prior period. || Steady monthly turnover reported in GST filings; no anomalies for May.,Call escalated - borrower reported delay in receivables from customers. || Field visit report notes shutdown/reduced operations at business premises. || Call escalated - borrower reported delay in receivables from customers.,0
MSME01705,MSME,GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || GST return for Jan filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01706,MSME,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Aug.,Courtesy call completed. No stress indicators noted.,0
MSME01707,MSME,GST return for Jan filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Oct. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted.,0
MSME01708,MSME,GST return for Nov filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Jun. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01709,MSME,GST return for Jan filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Nov. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || Regular GST compliance maintained. No late filing flags in Nov.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01710,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01711,MSME,Steady monthly turnover reported in GST filings; no anomalies for Aug. || GST return for Oct filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Apr.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01712,MSME,GST return for Apr filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01713,MSME,Regular GST compliance maintained. No late filing flags in Jul. || GSTR-3B filing delayed by 40 days for Jan. Late fee applicable. || Regular GST compliance maintained. No late filing flags in Aug.,Complaint logged: borrower disputes penalty charges amid repayment difficulty.,0
MSME01714,MSME,GST return for Nov filed after due date; ITC mismatch flagged. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter.,Borrower requested restructuring due to declining order book. || Courtesy call completed. No stress indicators noted. || Field visit report notes shutdown/reduced operations at business premises.,0
MSME01715,MSME,GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Feb. || GST return for Jan filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME01716,MSME,Regular GST compliance maintained. No late filing flags in Sep. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GST return for Aug filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME01717,MSME,GST return for Aug filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01718,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jan. || GST return for Aug filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01719,MSME,GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Mar.,"Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01720,MSME,Regular GST compliance maintained. No late filing flags in Jul. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Steady monthly turnover reported in GST filings; no anomalies for Oct. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.",0
MSME01721,MSME,GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct. || GST return for Feb filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01722,MSME,Steady monthly turnover reported in GST filings; no anomalies for Mar. || Regular GST compliance maintained. No late filing flags in May. || Steady monthly turnover reported in GST filings; no anomalies for Jun. || GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01723,MSME,Steady monthly turnover reported in GST filings; no anomalies for Nov. || GST return for Mar filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,"Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01724,MSME,Regular GST compliance maintained. No late filing flags in Sep. || GST return for Dec filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Oct.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01725,MSME,Steady monthly turnover reported in GST filings; no anomalies for Feb. || Regular GST compliance maintained. No late filing flags in Jan. || GST return for Sep filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01726,MSME,Regular GST compliance maintained. No late filing flags in Oct. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME01727,MSME,Regular GST compliance maintained. No late filing flags in Oct. || Steady monthly turnover reported in GST filings; no anomalies for May.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME01728,MSME,GST return for Mar filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME01729,MSME,GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || GST return for Feb filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Feb.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01730,MSME,Regular GST compliance maintained. No late filing flags in Jun. || Steady monthly turnover reported in GST filings; no anomalies for Apr. || Regular GST compliance maintained. No late filing flags in Feb. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,Courtesy call completed. No stress indicators noted.,0
MSME01731,MSME,Regular GST compliance maintained. No late filing flags in Mar. || GST return for Jan filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME01732,MSME,GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter. || GST return for Mar filed within due date. ITC claims reconciled. || GST return for May filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01733,MSME,GST return for Jul filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Apr filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted.,0
MSME01734,MSME,Steady monthly turnover reported in GST filings; no anomalies for Dec. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01735,MSME,GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul. || Regular GST compliance maintained. No late filing flags in Sep.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01736,MSME,Regular GST compliance maintained. No late filing flags in Feb. || Regular GST compliance maintained. No late filing flags in Jun. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01737,MSME,Steady monthly turnover reported in GST filings; no anomalies for Apr. || Steady monthly turnover reported in GST filings; no anomalies for Dec. || Steady monthly turnover reported in GST filings; no anomalies for May. || GST return for Oct filed within due date. ITC claims reconciled.,"Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01738,MSME,GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Oct.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME01739,MSME,GST return for Aug filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,"Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01740,MSME,GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Apr. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME01741,MSME,GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GST return for Sep filed within due date. ITC claims reconciled. || GST return for Jun filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME01742,MSME,Turnover declared in Nov filing dropped sharply versus prior period. || GST return for Sep filed within due date. ITC claims reconciled. || Repeated late filing pattern observed for Mar; compliance risk noted. || Steady monthly turnover reported in GST filings; no anomalies for Nov.,Complaint logged: borrower disputes penalty charges amid repayment difficulty. || Complaint logged: borrower disputes penalty charges amid repayment difficulty. || Borrower requested EMI deferment citing cash flow stress.,0
MSME01743,MSME,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || GSTR-3B filed on schedule for Jun. Turnover consistent with prior quarter.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01744,MSME,Regular GST compliance maintained. No late filing flags in Apr. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Jul.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing.",0
MSME01745,MSME,Regular GST compliance maintained. No late filing flags in Mar. || GST return for Jul filed within due date. ITC claims reconciled. || GST return for Dec filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME01746,MSME,GST return for Oct filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jan.,Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
